asset_id,section_id,asset_type,asset_age_years,past_failures,current_condition_score,last_maintained_days_ago,traffic_load_trains_per_day
AST0001,SEC01,Track (Rail/Ballast),10.7,1.0,48.1,93.0,55.0
AST0002,SEC01,S&T (Points/Crossing),16.5,3.0,75.6,287.0,189.0
AST0003,SEC01,Track (Rail/Ballast),38.8,2.0,49.4,447.0,46.0
AST0004,SEC01,Track (Rail/Ballast),6.9,2.0,72.4,344.0,153.0
AST0005,SEC01,S&T (Points/Crossing),34.4,4.0,99.6,168.0,35.0
AST0006,SEC01,S&T (Points/Crossing),6.9,2.0,31.0,185.0,25.0
AST0007,SEC01,Signal,13.8,1.0,78.3,39.0,84.0
AST0008,SEC01,Signal,27.3,3.0,52.9,6.0,158.0
AST0009,SEC01,Signal,24.9,4.0,47.6,34.0,139.0
AST0010,SEC01,S&T (Points/Crossing),38.2,4.0,64.1,201.0,127.0
AST0011,SEC01,OHE (Overhead Equipment),16.8,2.0,20.6,566.0,47.0
AST0012,SEC01,OHE (Overhead Equipment),37.6,4.0,38.4,704.0,212.0
AST0013,SEC01,Track (Rail/Ballast),37.1,1.0,34.7,500.0,190.0
AST0014,SEC02,S&T (Points/Crossing),32.2,3.0,17.6,331.0,43.0
AST0015,SEC02,OHE (Overhead Equipment),24.0,2.0,30.0,68.0,119.0
AST0016,SEC02,Track (Rail/Ballast),36.2,0.0,96.2,425.0,193.0
AST0017,SEC02,S&T (Points/Crossing),34.7,0.0,91.6,49.0,218.0
AST0018,SEC02,S&T (Points/Crossing),11.3,1.0,84.1,277.0,145.0
AST0019,SEC02,Signal,31.9,4.0,86.2,236.0,209.0
AST0020,SEC02,Signal,25.6,3.0,92.8,144.0,160.0
AST0021,SEC02,Signal,5.3,1.0,26.9,531.0,178.0
AST0022,SEC03,Signal,37.5,1.0,26.3,447.0,40.0
AST0023,SEC03,Signal,10.8,0.0,31.6,130.0,210.0
AST0024,SEC03,Signal,34.4,2.0,72.2,641.0,196.0
AST0025,SEC03,Track (Rail/Ballast),6.9,3.0,90.4,146.0,150.0
AST0026,SEC03,Track (Rail/Ballast),24.2,1.0,25.0,249.0,22.0
AST0027,SEC03,S&T (Points/Crossing),25.0,1.0,50.6,469.0,181.0
AST0028,SEC03,S&T (Points/Crossing),13.6,1.0,66.8,117.0,200.0
AST0029,SEC03,S&T (Points/Crossing),24.6,3.0,85.6,370.0,91.0
AST0030,SEC03,OHE (Overhead Equipment),37.6,4.0,88.9,548.0,114.0
AST0031,SEC03,OHE (Overhead Equipment),15.2,2.0,52.2,49.0,113.0
AST0032,SEC04,Signal,12.0,2.0,43.0,252.0,184.0
AST0033,SEC04,OHE (Overhead Equipment),5.7,4.0,19.2,673.0,72.0
AST0034,SEC04,Signal,28.3,3.0,10.6,46.0,17.0
AST0035,SEC04,OHE (Overhead Equipment),2.3,2.0,81.4,571.0,56.0
AST0036,SEC04,OHE (Overhead Equipment),24.4,1.0,25.2,540.0,23.0
AST0037,SEC04,Track (Rail/Ballast),30.2,1.0,80.4,350.0,197.0
AST0038,SEC04,Track (Rail/Ballast),0.7,3.0,38.4,599.0,187.0
AST0039,SEC04,S&T (Points/Crossing),25.2,1.0,52.6,292.0,36.0
AST0040,SEC04,S&T (Points/Crossing),25.4,2.0,81.8,202.0,92.0
AST0041,SEC04,Signal,3.9,2.0,64.3,245.0,84.0
AST0042,SEC04,S&T (Points/Crossing),29.1,1.0,51.7,212.0,91.0
AST0043,SEC04,Track (Rail/Ballast),8.8,0.0,35.4,414.0,89.0
AST0044,SEC05,OHE (Overhead Equipment),9.1,1.0,49.9,362.0,96.0
AST0045,SEC05,OHE (Overhead Equipment),30.3,2.0,34.1,169.0,152.0
AST0046,SEC05,Track (Rail/Ballast),33.8,1.0,33.8,356.0,83.0
AST0047,SEC05,S&T (Points/Crossing),5.0,2.0,71.1,338.0,185.0
AST0048,SEC05,S&T (Points/Crossing),24.7,1.0,70.7,505.0,120.0
AST0049,SEC05,Signal,5.9,3.0,73.6,690.0,185.0
AST0050,SEC05,Track (Rail/Ballast),26.2,5.0,68.6,707.0,144.0
AST0051,SEC05,Signal,7.2,3.0,53.1,700.0,106.0
AST0052,SEC05,S&T (Points/Crossing),4.8,1.0,46.6,264.0,84.0
AST0053,SEC05,Signal,14.7,2.0,34.3,184.0,138.0
AST0054,SEC05,S&T (Points/Crossing),13.2,2.0,30.0,336.0,61.0
AST0055,SEC05,Track (Rail/Ballast),24.2,2.0,91.7,39.0,60.0
AST0056,SEC05,S&T (Points/Crossing),21.2,0.0,13.3,67.0,20.0
AST0057,SEC05,OHE (Overhead Equipment),32.2,1.0,71.5,708.0,64.0
AST0058,SEC06,OHE (Overhead Equipment),19.2,1.0,91.5,521.0,71.0
AST0059,SEC06,Signal,31.8,3.0,69.7,708.0,165.0
AST0060,SEC06,Track (Rail/Ballast),8.6,3.0,47.8,571.0,130.0
AST0061,SEC06,OHE (Overhead Equipment),29.7,3.0,78.0,266.0,88.0
