asset_age_years,past_failures,current_condition_score,last_maintained_days_ago,traffic_load_trains_per_day,asset_type,observed_urgency_score
1.4,0,94.2,722,211,OHE (Overhead Equipment),21.79
4.7,1,72.5,78,51,S&T (Points/Crossing),23.08
26.1,2,58.3,49,132,OHE (Overhead Equipment),37.87
38.4,4,33.0,510,89,S&T (Points/Crossing),60.62
30.9,1,73.0,80,135,Track (Rail/Ballast),14.68
36.4,2,25.9,6,53,S&T (Points/Crossing),47.45
9.5,4,45.9,211,158,OHE (Overhead Equipment),36.58
10.5,1,81.1,421,111,S&T (Points/Crossing),28.36
14.3,3,31.4,141,187,S&T (Points/Crossing),46.93
18.5,2,43.6,23,54,OHE (Overhead Equipment),22.53
22.4,4,75.3,290,46,OHE (Overhead Equipment),31.04
32.4,2,27.5,686,139,S&T (Points/Crossing),61.32
9.3,2,58.6,420,218,Signal,36.36
25.2,4,59.8,16,66,S&T (Points/Crossing),23.48
29.8,0,33.6,628,153,Signal,66.52
11.3,3,72.1,408,189,Track (Rail/Ballast),37.39
33.5,3,63.3,723,123,Track (Rail/Ballast),56.39
3.4,1,99.0,286,141,S&T (Points/Crossing),12.31
8.1,2,28.1,374,145,S&T (Points/Crossing),40.84
24.5,2,73.3,207,184,Track (Rail/Ballast),29.98
30.8,1,50.9,229,207,OHE (Overhead Equipment),44.06
33.0,2,36.1,638,152,Track (Rail/Ballast),57.78
2.5,4,94.0,76,105,S&T (Points/Crossing),16.09
34.0,3,13.8,702,159,S&T (Points/Crossing),73.39
37.7,3,88.5,495,158,Signal,52.4
33.1,4,58.0,543,190,Signal,53.87
28.2,5,28.0,415,74,Track (Rail/Ballast),58.32
36.6,3,15.1,544,177,S&T (Points/Crossing),74.74
34.4,4,14.5,357,102,S&T (Points/Crossing),57.71
21.5,4,89.2,504,95,S&T (Points/Crossing),31.55
29.9,2,41.0,555,29,S&T (Points/Crossing),50.07
4.3,3,88.7,219,116,OHE (Overhead Equipment),18.44
33.8,1,38.8,319,18,S&T (Points/Crossing),43.22
21.2,0,67.6,616,147,S&T (Points/Crossing),47.65
13.5,5,75.1,488,148,S&T (Points/Crossing),33.66
7.2,3,10.2,576,170,Track (Rail/Ballast),61.71
39.3,1,31.1,78,214,S&T (Points/Crossing),51.69
6.6,6,47.4,9,33,S&T (Points/Crossing),27.68
37.4,2,32.4,180,194,Signal,57.11
25.7,1,92.7,117,119,OHE (Overhead Equipment),19.08
8.7,0,19.1,255,173,OHE (Overhead Equipment),49.65
2.6,1,72.1,363,151,Signal,33.61
30.6,4,31.3,82,42,S&T (Points/Crossing),36.5
11.9,5,11.0,285,202,Track (Rail/Ballast),53.16
20.2,0,48.4,271,54,S&T (Points/Crossing),36.24
29.6,0,49.3,495,144,OHE (Overhead Equipment),50.25
8.3,1,58.2,627,90,OHE (Overhead Equipment),50.86
8.1,3,94.6,30,39,S&T (Points/Crossing),16.97
21.0,3,94.9,700,144,OHE (Overhead Equipment),38.54
10.1,1,83.0,208,128,Track (Rail/Ballast),18.22
34.6,4,90.2,441,132,Track (Rail/Ballast),33.91
14.2,2,91.6,350,60,Track (Rail/Ballast),18.95
24.2,0,82.6,425,215,OHE (Overhead Equipment),39.33
24.3,3,22.6,6,200,S&T (Points/Crossing),48.68
26.1,2,83.3,472,62,Track (Rail/Ballast),43.55
5.6,2,66.5,133,199,Signal,25.52
4.7,1,68.0,39,78,S&T (Points/Crossing),12.82
37.0,1,85.9,720,141,Signal,39.27
23.6,1,59.5,321,30,S&T (Points/Crossing),46.04
21.6,1,59.5,462,185,OHE (Overhead Equipment),51.24
31.5,3,88.5,542,130,Track (Rail/Ballast),49.27
24.2,0,37.2,475,110,Track (Rail/Ballast),51.46
17.2,3,14.5,198,27,Track (Rail/Ballast),37.33
4.5,0,35.8,58,90,OHE (Overhead Equipment),39.47
24.5,2,61.2,104,21,S&T (Points/Crossing),26.8
1.9,4,85.0,323,28,S&T (Points/Crossing),24.5
8.6,0,60.0,216,162,OHE (Overhead Equipment),29.21
35.6,1,93.8,20,91,S&T (Points/Crossing),24.44
23.3,2,42.4,381,175,Signal,48.48
13.8,3,26.4,126,30,Signal,28.42
29.8,2,66.1,406,44,Track (Rail/Ballast),34.96
22.3,1,24.6,113,106,Track (Rail/Ballast),26.23
36.9,3,43.4,316,180,OHE (Overhead Equipment),49.76
14.2,1,65.3,384,154,Signal,36.41
8.8,2,56.5,585,155,Signal,53.34
19.6,2,36.1,73,45,Track (Rail/Ballast),37.79
20.7,2,79.1,298,101,OHE (Overhead Equipment),31.73
37.8,3,26.1,468,48,Track (Rail/Ballast),67.1
5.5,3,80.0,386,44,S&T (Points/Crossing),24.58
37.8,2,31.5,269,167,Track (Rail/Ballast),57.61
7.9,0,37.3,353,214,Track (Rail/Ballast),37.77
39.6,2,80.6,320,35,S&T (Points/Crossing),24.17
8.6,1,36.7,635,100,Signal,49.86
37.8,1,49.1,439,101,Track (Rail/Ballast),59.02
28.2,1,62.8,592,196,Signal,52.71
22.3,1,45.7,152,18,OHE (Overhead Equipment),34.79
26.6,2,74.9,509,172,Signal,44.36
20.2,2,39.8,302,149,S&T (Points/Crossing),42.63
17.3,3,25.3,524,34,Signal,47.34
6.9,1,42.6,344,133,Signal,45.49
21.7,2,14.6,80,205,Signal,64.46
8.2,2,75.3,255,95,Track (Rail/Ballast),33.7
39.7,1,51.6,641,21,Signal,56.36
4.7,1,63.8,81,186,OHE (Overhead Equipment),34.44
17.5,2,30.8,585,218,OHE (Overhead Equipment),66.47
32.4,2,11.6,681,89,OHE (Overhead Equipment),63.78
27.0,3,14.9,400,209,OHE (Overhead Equipment),72.47
8.3,1,68.4,131,120,Track (Rail/Ballast),29.43
15.6,1,57.8,136,125,Signal,26.25
20.4,1,52.6,315,76,Track (Rail/Ballast),28.14
0.8,0,71.3,620,193,Signal,32.45
26.1,1,92.5,606,69,Signal,38.41
6.8,2,38.5,292,163,S&T (Points/Crossing),37.38
20.6,5,42.2,214,115,S&T (Points/Crossing),48.83
25.6,4,33.4,581,204,OHE (Overhead Equipment),59.19
20.0,2,16.1,209,199,Signal,50.97
14.2,1,34.3,399,127,Signal,46.94
34.0,2,43.3,170,173,Track (Rail/Ballast),48.88
32.4,1,52.6,483,111,Signal,57.88
14.2,2,23.0,405,139,Track (Rail/Ballast),61.26
21.7,4,89.5,71,74,Track (Rail/Ballast),20.95
18.6,0,57.1,608,27,S&T (Points/Crossing),38.93
10.8,2,66.4,218,174,OHE (Overhead Equipment),39.45
25.5,2,58.9,245,148,S&T (Points/Crossing),44.04
21.7,2,50.6,22,72,S&T (Points/Crossing),36.44
11.1,1,62.0,589,74,Signal,41.33
9.9,3,38.5,494,151,OHE (Overhead Equipment),69.03
1.9,0,66.5,454,195,Signal,45.03
34.1,0,75.5,719,161,OHE (Overhead Equipment),49.87
18.3,3,97.8,267,170,Signal,36.22
22.6,1,47.7,621,43,Signal,49.95
11.9,2,62.3,601,49,Signal,38.59
0.7,5,49.9,213,79,S&T (Points/Crossing),37.14
35.0,2,51.5,366,211,OHE (Overhead Equipment),53.6
26.9,1,10.8,723,22,OHE (Overhead Equipment),61.05
15.1,0,11.5,290,77,Track (Rail/Ballast),51.2
4.5,1,93.8,97,48,Signal,9.17
33.6,4,80.7,301,109,S&T (Points/Crossing),31.67
21.0,1,30.1,366,112,S&T (Points/Crossing),40.86
30.0,2,40.2,93,115,Signal,54.3
32.4,0,32.6,465,84,Signal,49.81
30.6,1,39.3,191,137,Signal,48.42
33.2,1,34.0,144,203,S&T (Points/Crossing),58.49
11.3,4,42.1,166,73,OHE (Overhead Equipment),46.14
29.8,2,22.9,287,140,Track (Rail/Ballast),57.93
34.8,3,55.6,150,78,S&T (Points/Crossing),37.67
7.1,1,90.5,462,146,Track (Rail/Ballast),27.91
34.0,4,71.6,297,127,Track (Rail/Ballast),42.1
20.8,5,99.0,68,67,Signal,17.76
18.1,2,12.7,330,144,OHE (Overhead Equipment),53.46
26.4,1,32.1,565,133,OHE (Overhead Equipment),56.76
1.6,4,50.7,498,36,OHE (Overhead Equipment),42.63
4.7,3,66.7,514,70,Signal,32.21
35.7,1,56.2,227,26,OHE (Overhead Equipment),37.83
8.2,4,59.5,86,176,Track (Rail/Ballast),36.87
23.5,2,99.0,114,105,Signal,16.68
32.9,2,45.1,129,140,Track (Rail/Ballast),43.27
15.2,2,97.4,184,27,S&T (Points/Crossing),22.9
22.5,2,40.2,65,65,OHE (Overhead Equipment),31.05
9.9,3,22.5,511,182,Signal,57.84
33.6,4,21.4,698,87,OHE (Overhead Equipment),65.36
37.4,1,85.0,320,214,Track (Rail/Ballast),29.85
1.7,2,16.3,559,122,Track (Rail/Ballast),52.23
23.4,2,84.0,645,52,S&T (Points/Crossing),29.84
18.3,3,40.6,721,65,Track (Rail/Ballast),57.54
7.9,3,82.5,278,199,Track (Rail/Ballast),24.39
38.6,1,38.8,370,65,Signal,45.52
10.1,2,94.9,98,183,Signal,18.5
3.2,4,67.0,101,145,S&T (Points/Crossing),26.4
16.2,3,42.4,134,42,Signal,40.75
6.5,0,50.2,21,203,OHE (Overhead Equipment),28.52
15.0,3,22.1,216,17,Signal,37.75
34.9,2,11.3,634,118,OHE (Overhead Equipment),75.39
25.1,2,41.7,136,54,S&T (Points/Crossing),31.25
26.9,5,73.9,705,167,S&T (Points/Crossing),46.33
23.3,3,69.7,98,85,OHE (Overhead Equipment),20.29
30.7,3,16.4,100,161,Signal,58.91
2.7,2,77.1,438,100,Signal,24.17
