train_id,train_no,train_name,section_id,train_type,dep_min,arr_min,duration_min
RT00018,97445,T149,SEC01,Mail/Express,43,48,5
RT00005,95902,T8,SEC01,Mail/Express,308,312,4
RT00027,97326,T28,SEC01,Mail/Express,444,447,3
RT00016,97016,K16,SEC01,Mail/Express,468,472,4
RT00026,97041,K35,SEC01,Mail/Express,660,664,4
RT00028,97217,DL17,SEC01,Mail/Express,686,690,4
RT00020,97051,CK13,SEC01,Mail/Express,744,749,5
RT00010,97363,T 71,SEC01,Mail/Express,839,845,6
RT00001,97223,DL23,SEC01,Mail/Express,885,889,4
RT00025,97078,K80,SEC01,Mail/Express,904,908,4
RT00004,97080,K82,SEC01,Mail/Express,912,916,4
RT00003,97081,K67,SEC01,Mail/Express,914,918,4
RT00014,97373,T81,SEC01,Mail/Express,987,994,7
RT00022,97229,DL29,SEC01,Mail/Express,997,1002,5
RT00008,97095,K81,SEC01,Mail/Express,1009,1013,4
RT00009,97412,T118,SEC01,Mail/Express,1062,1067,5
RT00023,97397,T103,SEC01,Mail/Express,1114,1120,6
RT00017,95909,T107,SEC01,Mail/Express,1125,1131,6
RT00012,97115,DK23,SEC01,Mail/Express,1134,1138,4
RT00030,97430,DT12,SEC01,Mail/Express,1152,1157,5
RT00013,97401,T109,SEC01,Mail/Express,1160,1166,6
RT00021,95911,T117,SEC01,Mail/Express,1181,1186,5
RT00011,97124,K122,SEC01,Mail/Express,1199,1203,4
RT00024,97128,K124,SEC01,Mail/Express,1213,1216,3
RT00006,97419,T125,SEC01,Mail/Express,1267,1273,6
RT00015,97423,T131,SEC01,Mail/Express,1314,1319,5
RT00029,97255,DL51,SEC01,Mail/Express,1323,1327,4
RT00002,97145,DK39,SEC01,Mail/Express,1355,1359,4
RT00007,97260,DDL8,SEC01,Mail/Express,1397,1400,3
RT00019,96116,S50,SEC01,Mail/Express,1409,1412,3
RT00048,97445,T149,SEC02,Mail/Express,10,12,2
RT00040,96236,BL60,SEC02,Mail/Express,77,79,2
RT00050,97201,DL1,SEC02,Mail/Express,398,400,2
RT00031,97320,T22,SEC02,Mail/Express,421,424,3
RT00037,97023,DK1,SEC02,Mail/Express,488,490,2
RT00036,97315,T15,SEC02,Mail/Express,506,508,2
RT00044,97332,T34,SEC02,Mail/Express,514,517,3
RT00053,97501,G1,SEC02,Mail/Express,538,540,2
RT00059,97342,T48,SEC02,Mail/Express,575,578,3
RT00042,97344,T52,SEC02,Mail/Express,583,586,3
RT00033,97612,C 12,SEC02,Mail/Express,587,590,3
RT00049,97350,T58,SEC02,Mail/Express,616,619,3
RT00034,97617,C17,SEC02,Mail/Express,662,665,3
RT00045,97066,K68,SEC02,Mail/Express,869,872,3
RT00052,97371,T79,SEC02,Mail/Express,887,889,2
RT00060,97068,K70,SEC02,Mail/Express,888,891,3
RT00032,97083,K69,SEC02,Mail/Express,895,897,2
RT00054,97074,K74,SEC02,Mail/Express,915,918,3
RT00035,97390,T100,SEC02,Mail/Express,1009,1012,3
RT00055,97638,C 38,SEC02,Mail/Express,1093,1095,2
RT00047,97399,T105,SEC02,Mail/Express,1103,1106,3
RT00046,97245,DL43,SEC02,Mail/Express,1163,1165,2
RT00038,97110,DK24,SEC02,Mail/Express,1169,1173,4
RT00056,97634,C34,SEC02,Mail/Express,1175,1178,3
RT00057,97246,DL44,SEC02,Mail/Express,1250,1253,3
RT00043,97134,DK32,SEC02,Mail/Express,1287,1291,4
RT00058,97143,DK37,SEC02,Mail/Express,1302,1305,3
RT00041,97427,T135,SEC02,Mail/Express,1377,1379,2
RT00039,97653,C53,SEC02,Mail/Express,1423,1425,2
RT00051,97641,C41,SEC02,Mail/Express,1423,1425,2
RT00085,33651,SDAH-HB LOCA,SEC03,Mail/Express,293,297,4
RT00078,31313,SDAH - KLYM,SEC03,Mail/Express,339,343,4
RT00075,32217,SDAH-DKAE LO,SEC03,Mail/Express,373,377,4
RT00079,34052,NH - BGB LOC,SEC03,Mail/Express,402,405,3
RT00084,33614,DTK-SDAH LOC,SEC03,Mail/Express,427,430,3
RT00069,31614,RHA -SDAH LO,SEC03,Mail/Express,449,452,3
RT00080,33613,SDAH-DTK LOC,SEC03,Mail/Express,453,458,5
RT00062,33615,SDAH - DTK L,SEC03,Mail/Express,518,522,4
RT00061,31518,STB - SDAH L,SEC03,Mail/Express,559,562,3
RT00067,32226,DKAE-SDAH LO,SEC03,Mail/Express,618,621,3
RT00089,33435,SDAH - BT LO,SEC03,Mail/Express,630,635,5
RT00068,33437,SDAH - BT LO,SEC03,Mail/Express,642,646,4
RT00065,30361,MJT - HNB LO,SEC03,Mail/Express,801,805,4
RT00077,33833,SDAH - BNJ L,SEC03,Mail/Express,843,847,4
RT00088,32236,DKAE-SDAH LO,SEC03,Mail/Express,885,888,3
RT00072,31329,SDAH - KLYM,SEC03,Mail/Express,888,892,4
RT00066,33619,SDAH - DTK L,SEC03,Mail/Express,992,996,4
RT00070,31529,SDAH-STB LOC,SEC03,Mail/Express,1025,1029,4
RT00064,33801,SDAH - BNJ L,SEC03,Mail/Express,1058,1063,5
RT00090,31924,GEDE - SDAH,SEC03,Mail/Express,1072,1075,3
RT00083,33624,DTK-SDAH LOC,SEC03,Mail/Express,1093,1096,3
RT00087,31439,SDAH - NH LO,SEC03,Mail/Express,1123,1127,4
RT00071,31628,RHA - SDAH L,SEC03,Mail/Express,1127,1130,3
RT00073,31441,SDAH-NH LOCA,SEC03,Mail/Express,1190,1194,4
RT00074,33443,SDAH - BT LO,SEC03,Mail/Express,1246,1250,4
RT00082,31537,SDAH- STB LO,SEC03,Mail/Express,1253,1257,4
RT00086,31334,KLYM-SDAH LO,SEC03,Mail/Express,1272,1275,3
RT00063,31629,SDAH-RHA LOC,SEC03,Mail/Express,1308,1312,4
RT00081,31539,SDAH- STB LO,SEC03,Mail/Express,1318,1322,4
RT00076,31836,KNJ - SDAH L,SEC03,Mail/Express,1321,1324,3
RT00096,97304,T4,SEC04,Mail/Express,286,292,6
RT00113,97604,C4,SEC04,Mail/Express,342,348,6
RT00119,97318,T20,SEC04,Mail/Express,402,408,6
RT00110,97006,K6,SEC04,Mail/Express,422,428,6
RT00091,97008,K8,SEC04,Mail/Express,430,436,6
RT00102,97026,DK6,SEC04,Mail/Express,560,566,6
RT00094,97607,C7,SEC04,Mail/Express,572,579,7
RT00116,97028,DK8,SEC04,Mail/Express,606,612,6
RT00100,97039,K31,SEC04,Mail/Express,623,629,6
RT00105,97354,T64,SEC04,Mail/Express,625,631,6
RT00097,97214,DL14,SEC04,Mail/Express,690,696,6
RT00093,97216,DL16,SEC04,Mail/Express,713,719,6
RT00104,97066,K68,SEC04,Mail/Express,862,868,6
RT00108,97369,T 77,SEC04,Mail/Express,881,887,6
RT00111,97371,T79,SEC04,Mail/Express,890,896,6
RT00117,97382,T94,SEC04,Mail/Express,943,949,6
RT00106,97090,K90,SEC04,Mail/Express,998,1004,6
RT00114,97105,K87,SEC04,Mail/Express,1053,1059,6
RT00112,97391,T97,SEC04,Mail/Express,1057,1063,6
RT00118,97412,T118,SEC04,Mail/Express,1091,1097,6
RT00115,97115,DK23,SEC04,Mail/Express,1104,1110,6
RT00099,97236,DL34,SEC04,Mail/Express,1128,1134,6
RT00120,97405,T113,SEC04,Mail/Express,1147,1153,6
RT00092,97110,DK24,SEC04,Mail/Express,1162,1168,6
RT00098,97122,K120,SEC04,Mail/Express,1212,1218,6
RT00101,97251,DL47,SEC04,Mail/Express,1244,1250,6
RT00109,97645,C45,SEC04,Mail/Express,1284,1292,8
RT00103,97440,T140,SEC04,Mail/Express,1309,1315,6
RT00107,97429,DT7,SEC04,Mail/Express,1354,1360,6
RT00095,97256,DL52,SEC04,Mail/Express,1369,1375,6
RT00135,31212,BP-SDAH LOCA,SEC05,Mail/Express,427,443,16
RT00126,31317,SDAH - KLYM,SEC05,Mail/Express,438,445,7
RT00150,33613,SDAH-DTK LOC,SEC05,Mail/Express,445,452,7
RT00122,31913,SDAH-GEDE LO,SEC05,Mail/Express,460,467,7
RT00130,31839,SDAH-KNJ LOC,SEC05,Mail/Express,466,473,7
RT00128,31316,KLYM - SDAH,SEC05,Mail/Express,505,520,15
RT00148,33802,BNJ - SDAH L,SEC05,Mail/Express,538,555,17
RT00129,31417,SDAH - NH LO,SEC05,Mail/Express,568,575,7
RT00123,31620,RHA - SDAH L,SEC05,Mail/Express,604,618,14
RT00133,33826,BNJ - SDAH L,SEC05,Mail/Express,618,630,12
RT00121,33437,SDAH - BT LO,SEC05,Mail/Express,634,641,7
RT00138,33657,SDAH-HB LOCA,SEC05,Mail/Express,717,724,7
RT00124,32233,SDAH-DKAE LO,SEC05,Mail/Express,732,739,7
RT00145,33523,SDAH - HNB L,SEC05,Mail/Express,735,742,7
RT00149,33522,HNB-SDAH LOC,SEC05,Mail/Express,807,820,13
RT00127,32411,SDAH-BRPA LO,SEC05,Mail/Express,852,859,7
RT00141,31322,KLYM-SDAH LO,SEC05,Mail/Express,889,906,17
RT00132,33526,HNB-SDAH LOC,SEC05,Mail/Express,902,918,16
RT00142,31331,SDAH - KLYM,SEC05,Mail/Express,935,942,7
RT00136,32412,BRPA - SDAH,SEC05,Mail/Express,971,990,19
RT00137,31236,BP-SDAH LOCA,SEC05,Mail/Express,1136,1150,14
RT00144,33626,DTK-SDAH LOC,SEC05,Mail/Express,1167,1185,18
RT00146,32246,DKAE-SDAH LO,SEC05,Mail/Express,1182,1198,16
RT00131,31438,NH - SDAH LO,SEC05,Mail/Express,1207,1224,17
RT00139,31630,RHA - SDAH L,SEC05,Mail/Express,1213,1230,17
RT00125,33853,SDAH - BNJ L,SEC05,Mail/Express,1262,1269,7
RT00134,31442,NH - SDAH LO,SEC05,Mail/Express,1265,1280,15
RT00140,31926,GEDE - SDAH,SEC05,Mail/Express,1335,1355,20
RT00143,33533,SDAH-HB LOCA,SEC05,Mail/Express,1335,1342,7
RT00147,33861,SDAH - BNJ L,SEC05,Mail/Express,1420,1427,7
RT00164,97008,K8,SEC06,Mail/Express,414,419,5
RT00178,97326,T28,SEC06,Mail/Express,454,459,5
RT00179,97204,DL4,SEC06,Mail/Express,483,488,5
RT00168,97309,T9,SEC06,Mail/Express,486,491,5
RT00177,97023,DK1,SEC06,Mail/Express,508,513,5
RT00172,97336,T4O,SEC06,Mail/Express,516,521,5
RT00163,97029,K23,SEC06,Mail/Express,550,555,5
RT00167,97037,K29,SEC06,Mail/Express,608,613,5
RT00155,97354,T64,SEC06,Mail/Express,609,614,5
RT00176,97040,K50,SEC06,Mail/Express,669,674,5
RT00170,97214,DL14,SEC06,Mail/Express,674,679,5
RT00159,97061,K51,SEC06,Mail/Express,789,794,5
RT00169,97363,T 71,SEC06,Mail/Express,827,832,5
RT00156,97079,K65,SEC06,Mail/Express,890,895,5
RT00175,97380,T92,SEC06,Mail/Express,906,911,5
RT00153,97078,K80,SEC06,Mail/Express,915,920,5
RT00162,97080,K82,SEC06,Mail/Express,923,928,5
RT00180,97382,T94,SEC06,Mail/Express,927,932,5
RT00161,97387,T93,SEC06,Mail/Express,1063,1068,5
RT00158,97119,K99,SEC06,Mail/Express,1132,1137,5
RT00152,97426,T128,SEC06,Mail/Express,1136,1141,5
RT00166,97241,DL39,SEC06,Mail/Express,1140,1145,5
RT00160,97242,DL40,SEC06,Mail/Express,1186,1191,5
RT00174,97127,K107,SEC06,Mail/Express,1192,1197,5
RT00165,97133,K113,SEC06,Mail/Express,1223,1228,5
RT00157,97132,DK30,SEC06,Mail/Express,1244,1249,5
RT00154,97251,DL47,SEC06,Mail/Express,1261,1266,5
RT00151,97143,DK37,SEC06,Mail/Express,1323,1328,5
RT00173,96114,S48,SEC06,Mail/Express,1397,1402,5
RT00171,97435,T141,SEC06,Mail/Express,1430,1435,5
